#wavelength pix
5852.49 207
5881.90 268
5944.83 396
5975.53 458
6030.00 568
6074.34 659
6096.16 705
6143.06 799
6163.59 840
6217.28 951
6266.49 1051
6304.79 1128
6334.43 1189
6382.99 1290
6402.25 1327
6506.53 1542
6532.84 1595
6598.95 1731
6678.28 1897
6717.04 1976
6929.47 2408
6965.43 2483
7032.41 2625
7173.94 2920
7245.17 3070
7383.98 3362
7438.00 3478
7488.87 3585
7503.87 3616
7514.65 3641
7535.77 3685
7635.11 3894
8006.16 4699
8103.69 4908
8115.31 4931
8264.52 5259
8300.33 5338
8377.61 5507
8408.21 5576
8495.36 5768
8521.44 5829
