#wavelength pix
5852.49 46
5881.90 78
5944.83 140
5975.53 170
6030.00 227
6074.34 271
6096.16 295
6143.06 341
6163.59 363
6217.28 419
6266.49 469
6304.79 507
6334.43 540
6382.99 589
6402.25 607
6532.88 745
6598.95 812
6678.28 895
6717.04 935
6929.47 1157
6965.43 1193
7032.41 1265
7245.17 1487
7383.98 1634
7438.90 1693
7488.87 1745
7503.87 1762
7635.11 1903
8103.60 2410
8115.31 2423
8264.52 2586
8300.33 2625
8377.61 2711
8408.21 2746
8424.65 2765
8495.36 2843
8521.44 2874
8591.26 2954
8634.65 3000
8654.38 3024
